MRC/IC estimates
case	date	numbers	actual R R_range
France	22-03-2020	3,400 (2,250 - 4,520)	1752	4.04 (3.43 - 4.78)
France	29-03-2020	4,660 (4,000 - 7,640)	5246	2.48 (2.04 - 3.03)
France	05-04-2020	23,800 (9,140 - 43,300)		3.68 (2.98 - 4.41)
Italy	08-03-2020	1,310 (619 - 2,420)	1208	3.67 (2.60 - 5.35)
Italy	15-03-2020	3,240 (2,020 - 5,400)	3386	2.16 (1.61 - 3.14)
Italy	22-03-2020	9,920 (7,870 - 11,300)	5196	2.31 (2.07 - 2.57)
Italy	29-03-2020	8,080 (7,220 - 8,530)	5339	1.44 (1.35 - 1.51)
Italy	05-04-2020	5,020 (4,400 - 5,520)		0.95 (0.85 - 1.03)
Spain	22-03-2020	6,230 (3,770 - 8,610)	4364	3.35 (2.64 - 4.25)
Spain	29-03-2020	12,300 (9,000 - 18,300)	6054	2.42 (1.85 - 2.99)
Spain	05-04-2020	8,390 (6,230 - 9,570)		1.18 (1.04 - 1.39)
United Kingdom	22-03-2020	1,260 (605 - 2,170)	786	3.61 (2.61 - 5.01)
United Kingdom	29-03-2020	4,120 (2,550 - 8,190)	3294	4.14 (3.10 - 5.00)
United Kingdom	05-04-2020	13,900 (8,380 - 16,200)		3.05 (2.73 - 3.25)
France	20-04-2020	5491	5,450 (4,090 - 7,170)	0.94 (0.77 - 1.21)
Italy	20-04-2020	3757	2,730 (1,960 - 3,870)	0.65 (0.55 - 1.00)
Spain	20-04-2020	3690	3,320 (2,460 - 4,850)	0.77 (0.67 - 0.89)
United Kingdom	20-04-2020	5589	5,950 (4,350 - 7,320)	0.75 (0.60 - 1.26)
France	27-04-2020	3291	3,540 (1,970 - 5,300)	0.85 (0.67 - 0.95)
Italy	27-04-2020	3157	2,110 (1,500 - 2,950)	0.67 (0.59 - 0.93)
Spain	27-04-2020	2859	2,480 (1,750 - 3,060)	0.72 (0.60 - 0.97)
United Kingdom	27-04-2020	4855	4,450 (3,080 - 7,610)	0.72 (0.58 - 1.45)
United Kingdom	10-05-2020	3456	3,620 (2,880 - 4,940)	1.03 (0.78 - 1.36)
Spain	10-05-2020	1357	1,160 (749 - 1,400)	0.88 (0.75 - 1.06)
Italy	10-05-2020	1685	1,650 (1,090 - 2,110)	0.97 (0.84 - 1.26)
France	10-05-2020	1550	1,180 (859 - 1,320)	0.72 (0.50 - 0.80)
