case,N,startdate,initdate,casedate,interventiondate,interventionlevel,stopdate,enddate,dates,raw,daily,cumulative,raw_cumulative,peakdate
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-21,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-22,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-23,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-24,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-25,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-26,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-27,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-28,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-02-29,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-01,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-02,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-03,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-04,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-05,0,0.0,0.0,0,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-06,1,0.5,0.5,1,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-07,1,0.75,1.25,2,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-08,0,0.375,1.625,2,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-09,1,0.6875,2.3125,3,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-10,4,2.34375,4.65625,7,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-11,0,1.171875,5.828125,7,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-12,2,1.5859375,7.4140625,9,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-13,1,1.29296875,8.70703125,10,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-14,18,9.646484375,18.353515625,28,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-15,15,12.3232421875,30.6767578125,43,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-16,22,17.16162109375,47.83837890625,65,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-17,16,16.580810546875,64.419189453125,81,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-18,34,25.2904052734375,89.7095947265625,115,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-19,43,34.14520263671875,123.85479736328125,158,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-20,36,35.072601318359375,158.92739868164062,194,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-21,56,45.53630065917969,204.4636993408203,250,2020-4-10
United Kingdom,66460344,2020-2-7,2020-2-21,2020-3-6,2020-3-20,5,2020-6-27,2020-7-25,2020-03-22,35,40.268150329589844,244.73184967041016,285,2020-4-10
